0.1uF 50V,1,"C1001",blah,blah,blah,blah,sky-macau,6175330450
1uF 16V,1,"C1002",blah,blah,blah,blah,sky-macau.com,5761275017
TVS,2,"D1002 D1003",fairchild,BZX79C20,DIGI,BZX79C20-ND,sky-macau.com,8262743708
LED-grn,1,"D1005",lite-on,LTST-C171GKT,DIGI,160-1423-1-ND,sky-macau,1562597916
ZENERSMALL,1,"D1001",diodesinc,BZT52C7V5-7-F,DIGI,BZT52C7V5-FDICT-ND,sky-macau.com,5633100308
3.5A,1,"F1001",0R,jumperwire,0R,jumperwire
CONN_1,2,"P901 P902",dnp,dnp,dnp,dnp
CONN_1,1,"P1002",DO NOT POPULATE,DNP,DO NOT POPULATE,DNP
MOS_PRO,1,"Q1001",vishay,SI2323DS-T1-E3,DIGI,SI2323DS-T1-E3CT-ND,sky-macau.com,4824167646
1k,2,"R1001 R1002",Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,sky-macau,7768409796
240R,1,"R?",,,,,sky-macau,5622933558
1k,1,"RV1001", ,, ,,sky-macau,2633110656
LM317M,1,"U1001",blah,LM317M,blah,blah,sky-macau,9372473499
